language,form,item_id,num_item_id,type,definition,group,lexical_category,stem,
Slovak,WS,item_633,633,word_forms_verbs,čo práve robí používa tvary slov ako napríklad papám; čítam; kreslím; idem; tancujem…,other,verbs,NA,
Slovak,WS,item_634,634,word_forms_verbs,čo práve robíte Vy; používa tvary slov ako napríklad ideš; fúkaš; spievaš; kreslíš; piješ…,other,verbs,NA,
Slovak,WS,item_635,635,word_forms_verbs,čo robí niekto iný používa tvary slov ako napríklad papá; číta; ide; tancuje; plače; cvičí…,other,verbs,NA,
Slovak,WS,item_636,636,word_forms_verbs,čo práve robí spoločne s niekým iným používa tvary slov ako napríklad papáme; ideme; robíme…,other,verbs,NA,
Slovak,WS,item_637,637,word_forms_verbs,čo práve robia iní používa tvary slov ako napríklad stoja; bežia; vezú; stavajú; plačú; letia…,other,verbs,NA,
Slovak,WS,item_638,638,word_forms_verbs,čo sa dialo v minulosti používa tvary slov ako napríklad napísal; postavil; spadol; hrali sme sa; čítali sme; kreslili sme…,other,verbs,NA,
Slovak,WS,item_639,639,word_forms_verbs,čo sa udeje v budúcnosti používa tvary slov ako napríklad urobí; nakreslí; zacúva; poukladá; umyje…,other,verbs,NA,
Slovak,WS,item_640,640,word_forms_verbs,čo sa bude diať v budúcnosti použije tvary slov ako napríklad budem kresliť; budem robiť; budem sa umývať; budem ukladať; bude cúvať; bude umývať…,other,verbs,NA,
Slovak,WS,item_641,641,word_forms_verbs,o niečo žiada používa tvary slov ako napríklad poď; ukáž; prestaň; daj; pozri; postavme; poďme…,other,verbs,NA,
Slovak,WS,item_642,642,word_forms_verbs,hovorí o tom že nejaká činnosť je skončená; používa tvary ako napríklad (je) zatvorený; (je) otvorený; (je) nakreslený; (je) upečené…,other,verbs,NA,
Slovak,WS,item_643,643,word_forms_verbs,chce povedať že niečo niekomu patrí; používa slová ako napríklad tatove; mackove; mamine; žabkine; dedove; koníkov…,other,verbs,NA,
Slovak,WS,item_644,644,word_forms_verbs,idete / stojíte,other,verbs,NA,
Slovak,WS,item_645,645,word_forms_verbs,ja by som zobrala,other,verbs,NA,
Slovak,WS,item_646,646,word_forms_verbs,nie sú / nie je / nie som / neni / som / je / sú,other,verbs,NA,
Slovak,WS,item_647,647,word_forms_verbs,bolo / bude / bola si / budeme / budeš / budem / budú / bola…,other,verbs,NA,
Slovak,WS,item_649,649,word_endings_verbs,česaj (namiesto češ),overregularized,verbs,,češ
Slovak,WS,item_650,650,word_endings_verbs,písaj (namiesto píš),overregularized,verbs,,píš
Slovak,WS,item_651,651,word_endings_verbs,budem bojať / bojiť (namiesto budem sa báť),overregularized,verbs,,budem sa báť
Slovak,WS,item_652,652,word_endings_verbs,jel (namiesto jedol),overregularized,verbs,,jedol
Slovak,WS,item_653,653,word_endings_verbs,stojám (namiesto stojím),overregularized,verbs,,stojím
Slovak,WS,item_654,654,word_endings_verbs,povedaj (namiesto povedz),overregularized,verbs,,povedz
Slovak,WS,item_655,655,word_endings_verbs,budem stojať/stojiť (namiesto budem stáť),overregularized,verbs,,budem stáť
Slovak,WS,item_656,656,word_endings_verbs,budem počkať (namiesto budem čakať),overregularized,verbs,,budem čakať
Slovak,WS,item_657,657,word_endings_verbs,bojila (namiesto bála sa),overregularized,verbs,,bála sa
Slovak,WS,item_658,658,word_endings_verbs,bežam (namiesto bežím),overregularized,verbs,,bežím
Slovak,WS,item_659,659,word_endings_verbs,robám (namiesto robím),overregularized,verbs,,robím
Slovak,WS,item_660,660,word_endings_verbs,zjednem (namiesto zjem),overregularized,verbs,,zjem
Slovak,WS,item_661,661,word_endings_verbs,hádza (namiesto hádže),overregularized,verbs,,hádže
Slovak,WS,item_662,662,word_endings_verbs,kúpa (namiesto kúpe),overregularized,verbs,,kúpe
Slovak,WS,item_663,663,word_endings_verbs,chcejú (namiesto chcú),overregularized,verbs,,chcú
Slovak,WS,item_664,664,word_endings_verbs,tancovame (namiesto tancujeme),overregularized,verbs,,tancujeme
Slovak,WS,item_665,665,word_endings_verbs,pečila (namiesto piekla),overregularized,verbs,,piekla
Slovak,WS,item_666,666,word_endings_verbs,vesím (namiesto vešiam),overregularized,verbs,,vešiam
Slovak,WS,item_667,667,word_endings_verbs,odomykujem (namiesto odomykám),overregularized,verbs,,odomykám
Slovak,WS,item_668,668,word_endings_verbs,sypám (namiesto sypem),overregularized,verbs,,sypem
Slovak,WS,item_669,669,word_endings_verbs,pomýľam sa (namiesto pomýlim sa),overregularized,verbs,,pomýlim sa
Slovak,WS,item_670,670,word_endings_verbs,(on) plaká (namiesto plače),overregularized,verbs,,plače
Slovak,WS,item_671,671,word_endings_verbs,povju (namiesto povedia),overregularized,verbs,,povedia
Slovak,WS,item_672,672,word_endings_nouns,ľudi (namiesto ľudia),overregularized,nouns,,ľudia
Slovak,WS,item_673,673,word_endings_nouns,o soľovi (namiesto o soli),overregularized,nouns,,o soli
Slovak,WS,item_674,674,word_endings_nouns,zemiačikovi (namiesto zemiačiku),overregularized,nouns,,zemiačiku
Slovak,WS,item_675,675,word_endings_nouns,zlejšie (namiesto horšie),overregularized,nouns,,horšie
Slovak,WS,item_676,676,word_endings_nouns,kuchárovia (namiesto kuchári),overregularized,nouns,kuchár,kuchári
Slovak,WS,item_677,677,word_endings_nouns,o pesovi (namiesto o psovi),overregularized,nouns,pes,o psovi
Slovak,WS,item_678,678,word_endings_nouns,k jazerovi (namiesto jazeru),overregularized,nouns,jazero,jazeru
Slovak,WS,item_679,679,word_endings_nouns,bábätkovi (namiesto bábätku),overregularized,nouns,bábätko,bábätku
English (Australian),WS,item_559,559,word_forms_nouns,children,correct,nouns,child,
English (Australian),WS,item_560,560,word_forms_nouns,feet,correct,nouns,foot,
English (Australian),WS,item_561,561,word_forms_nouns,men,correct,nouns,man,
English (Australian),WS,item_562,562,word_forms_nouns,mice,correct,nouns,mouse,
English (Australian),WS,item_563,563,word_forms_nouns,teeth,correct,nouns,tooth,
English (Australian),WS,item_564,564,word_forms_verbs,ate,correct,verbs,eat,
English (Australian),WS,item_565,565,word_forms_verbs,blew,correct,verbs,blow,
English (Australian),WS,item_566,566,word_forms_verbs,fell,correct,verbs,fall,
English (Australian),WS,item_567,567,word_forms_verbs,flew,correct,verbs,fly,
English (Australian),WS,item_568,568,word_forms_verbs,made,correct,verbs,make,
English (Australian),WS,item_569,569,word_forms_verbs,ran,correct,verbs,run,
English (Australian),WS,item_570,570,word_forms_verbs,bought,correct,verbs,buy,
English (Australian),WS,item_571,571,word_forms_verbs,broke,correct,verbs,break,
English (Australian),WS,item_572,572,word_forms_verbs,came,correct,verbs,come,
English (Australian),WS,item_573,573,word_forms_verbs,drank,correct,verbs,drink,
English (Australian),WS,item_574,574,word_forms_verbs,drove,correct,verbs,drive,
English (Australian),WS,item_575,575,word_forms_verbs,got,correct,verbs,get,
English (Australian),WS,item_576,576,word_forms_verbs,had,correct,verbs,have,
English (Australian),WS,item_577,577,word_forms_verbs,heard,correct,verbs,hear,
English (Australian),WS,item_578,578,word_forms_verbs,held,correct,verbs,hold,
English (Australian),WS,item_579,579,word_forms_verbs,lost,correct,verbs,lose,
English (Australian),WS,item_580,580,word_forms_verbs,sat,correct,verbs,sit,
English (Australian),WS,item_581,581,word_forms_verbs,saw,correct,verbs,see,
English (Australian),WS,item_582,582,word_forms_verbs,took,correct,verbs,take,
English (Australian),WS,item_583,583,word_forms_verbs,went,correct,verbs,go,
English (Australian),WS,item_584,584,word_endings_nouns,blockses,overregularized,nouns,block,
English (Australian),WS,item_585,585,word_endings_nouns,chrildren s,overregularized,nouns,child,
English (Australian),WS,item_586,586,word_endings_nouns,childs,overregularized,nouns,child,
English (Australian),WS,item_587,587,word_endings_nouns,feets,overregularized,nouns,foot,
English (Australian),WS,item_588,588,word_endings_nouns,foots,overregularized,nouns,foot,
English (Australian),WS,item_589,589,word_endings_nouns,mans,overregularized,nouns,man,
English (Australian),WS,item_590,590,word_endings_nouns,mens,overregularized,nouns,man,
English (Australian),WS,item_591,591,word_endings_nouns,mices,overregularized,nouns,mouse,
English (Australian),WS,item_592,592,word_endings_nouns,mouses,overregularized,nouns,mouse,
English (Australian),WS,item_593,593,word_endings_nouns,shoeses,overregularized,nouns,shoe,
English (Australian),WS,item_594,594,word_endings_nouns,sockses,overregularized,nouns,sock,
English (Australian),WS,item_595,595,word_endings_nouns,teeths,overregularized,nouns,tooth,
English (Australian),WS,item_596,596,word_endings_nouns,toeses,overregularized,nouns,toe,
English (Australian),WS,item_597,597,word_endings_nouns,tooths,overregularized,nouns,tooth,
English (Australian),WS,item_598,598,word_endings_verbs,ated,overregularized,verbs,eat,
English (Australian),WS,item_599,599,word_endings_verbs,blewed,overregularized,verbs,blow,
English (Australian),WS,item_600,600,word_endings_verbs,blowed,overregularized,verbs,blow,
English (Australian),WS,item_601,601,word_endings_verbs,bringed,overregularized,verbs,bring,
English (Australian),WS,item_602,602,word_endings_verbs,buyed,overregularized,verbs,buy,
English (Australian),WS,item_603,603,word_endings_verbs,breaked,overregularized,verbs,break,
English (Australian),WS,item_604,604,word_endings_verbs,broked,overregularized,verbs,break,
English (Australian),WS,item_605,605,word_endings_verbs,camed,overregularized,verbs,come,
English (Australian),WS,item_606,606,word_endings_verbs,comed,overregularized,verbs,come,
English (Australian),WS,item_607,607,word_endings_verbs,doed,overregularized,verbs,do,
English (Australian),WS,item_608,608,word_endings_verbs,dranked,overregularized,verbs,drink,
English (Australian),WS,item_609,609,word_endings_verbs,drinked,overregularized,verbs,drink,
English (Australian),WS,item_610,610,word_endings_verbs,eated,overregularized,verbs,eat,
English (Australian),WS,item_611,611,word_endings_verbs,falled,overregularized,verbs,fall,
English (Australian),WS,item_612,612,word_endings_verbs,flied,overregularized,verbs,fly,
English (Australian),WS,item_613,613,word_endings_verbs,getted,overregularized,verbs,get,
English (Australian),WS,item_614,614,word_endings_verbs,goed,overregularized,verbs,go,
English (Australian),WS,item_615,615,word_endings_verbs,gotted,overregularized,verbs,get,
English (Australian),WS,item_616,616,word_endings_verbs,haved,overregularized,verbs,have,
English (Australian),WS,item_617,617,word_endings_verbs,hearded,overregularized,verbs,hear,
English (Australian),WS,item_618,618,word_endings_verbs,holded,overregularized,verbs,hold,
English (Australian),WS,item_619,619,word_endings_verbs,losed,overregularized,verbs,lose,
English (Australian),WS,item_620,620,word_endings_verbs,losted,overregularized,verbs,lost,
English (Australian),WS,item_621,621,word_endings_verbs,maked,overregularized,verbs,make,
English (Australian),WS,item_622,622,word_endings_verbs,ranned,overregularized,verbs,run,
English (Australian),WS,item_623,623,word_endings_verbs,runned,overregularized,verbs,run,
English (Australian),WS,item_624,624,word_endings_verbs,seed,overregularized,verbs,see,
English (Australian),WS,item_625,625,word_endings_verbs,satted,overregularized,verbs,sit,
English (Australian),WS,item_626,626,word_endings_verbs,sitted,overregularized,verbs,sit,
English (Australian),WS,item_627,627,word_endings_verbs,taked,overregularized,verbs,take,
English (Australian),WS,item_628,628,word_endings_verbs,wented,overregularized,verbs,go,
French (French),WS,item_711,711,verb_endings,au présent,abstract,NA,NA,
French (French),WS,item_712,712,verb_endings,au passé composé,abstract,NA,NA,
French (French),WS,item_713,713,verb_endings,à l'impératif,abstract,NA,NA,
French (French),WS,item_714,714,verb_endings,au futur,abstract,NA,NA,
French (French),WS,item_715,715,verb_endings,à l'infinitif,abstract,NA,NA,
French (French),WS,item_716,716,verb_endings,à l'imparfait,abstract,NA,NA,
